=== Adapter effect on M_ALL similarity (real vs gen / adapter(gen)) ===
speaker |forget? | M_ALL before       | M_ALL after        | Δ (after - before)
   1743 |    no  | 0.7669460963080237 | 0.7669460963080237 | 0.0
    201 |    no  | 0.7858721444236935 | 0.7858721444236935 | 0.0
    229 |    no  | 0.7363639258422165 | 0.7363639258422165 | 0.0
    233 |    no  | 0.664274838134182  | 0.664274838134182  | 0.0
    254 |    no  | 0.745327053405285  | 0.745327053405285  | 0.0
     27 |    YES | 0.7933129493913638 | 0.3445508456399805 | -0.44876210375138326
    446 |    no  | 0.7727460283511243 | 0.7727460283511243 | 0.0
    911 |    no  | 0.7709701908602405 | 0.7709701908602405 | 0.0

[OK] Saved adapter effect results to adapter_effect_M_ALL.csv
